분류-대-공정,분류-대-공정,분류-중-재료,분류-중-재료,분류-소-객체유형,분류-소-객체유형,라이브러리-라이브러리 ID(코드),라이브러리-파일명,라이브러리-확장자-rfa,라이브러리-확장자-rte,라이브러리-명칭,라이브러리-명칭(유형명),조달청 표준공사코드-세부공종코드(전체),조달청 표준공사코드-세부공종코드(추가),관련규격-KBIMS 부위분류,비고
,,,,,,,,○,유,유리포함 1000x1900mm,"DR111-외여닫이문(철재, 일반, 양개) 유리포함 1000x1900mm",,ALA12010600B,E333,
,,,,,,,,○,유,유리포함 1000x2000mm,"DR111-외여닫이문(철재, 일반, 양개) 유리포함 1000x2000mm",,ALA12010700B,E333,
,,,,,,,,○,유,유리포함 1000x2100mm,"DR111-외여닫이문(철재, 일반, 양개) 유리포함 1000x2100mm",,ALA12010800B,E333,
,,,,,,,,○,유,유리포함 1000x2400mm,"DR111-외여닫이문(철재, 일반, 양개) 유리포함 1000x2400mm",,ALA12010900B,E333,
,,,,,,,,○,유,유리포함 1100x1800mm,"DR111-외여닫이문(철재, 일반, 양개) 유리포함 1100x1800mm",,ALA12012000B,E333,
,,,,,,,,○,유,유리포함 1100x1900mm,"DR111-외여닫이문(철재, 일반, 양개) 유리포함 1100x1900mm",,ALA12011200B,E333,
,,,,,,,,○,유,유리포함 1100x2000mm,"DR111-외여닫이문(철재, 일반, 양개) 유리포함 1100x2000mm",,ALA12011500B,E333,
,,,,,,,,○,유,유리포함 1100x2100mm,"DR111-외여닫이문(철재, 일반, 양개) 유리포함 1100x2100mm",,ALA12011300B,E333,
,,,,,,,,○,유,유리포함 1100x2400mm,"DR111-외여닫이문(철재, 일반, 양개) 유리포함 1100x2400mm",,ALA12011400B,E333,
,,,,,,,,,루,루버포함 900x1800mm,"DR111-외여닫이문(철재, 일반, 양개) 루버포함 900x1800mm",,ALA12010000B,E333,
,,,,,,,,,루,루버포함 900x1900mm,"DR111-외여닫이문(철재, 일반, 양개) 루버포함 900x1900mm",,ALA12010100C,E333,
,,,,,,,,,루,루버포함 900x2000mm,"DR111-외여닫이문(철재, 일반, 양개) 루버포함 900x2000mm",,ALA12010200C,E333,
,,,,,,,,,루,루버포함 900x2100mm,"DR111-외여닫이문(철재, 일반, 양개) 루버포함 900x2100mm",,ALA12010300C,E333,
,,,,,,,,,루,루버포함 900x2400mm,"DR111-외여닫이문(철재, 일반, 양개) 루버포함 900x2400mm",,ALA12010400C,E333,
,,,,,,,,,루,루버포함 1000x1800mm,"DR111-외여닫이문(철재, 일반, 양개) 루버포함 1000x1800mm",,ALA12010500C,E333,
,,,,,,,,,루,루버포함 1000x1900mm,"DR111-외여닫이문(철재, 일반, 양개) 루버포함 1000x1900mm",,ALA12010600C,E333,
,,,,,,,,,루,루버포함 1000x2000mm,"DR111-외여닫이문(철재, 일반, 양개) 루버포함 1000x2000mm",,ALA12010700C,E333,
,,,,,,,,,루,루버포함 1000x2100mm,"DR111-외여닫이문(철재, 일반, 양개) 루버포함 1000x2100mm",,ALA12010800C,E333,
,,,,,,,,,루,루버포함 1000x2400mm,"DR111-외여닫이문(철재, 일반, 양개) 루버포함 1000x2400mm",,ALA12010900C,E333,
,,,,,,,,,루,루버포함 1100x1800mm,"DR111-외여닫이문(철재, 일반, 양개) 루버포함 1100x1800mm",,ALA12012000C,E333,
,,,,,,,,,루,루버포함 1100x1900mm,"DR111-외여닫이문(철재, 일반, 양개) 루버포함 1100x1900mm",,ALA12011200C,E333,
,,,,,,,,,루,루버포함 1100x2000mm,"DR111-외여닫이문(철재, 일반, 양개) 루버포함 1100x2000mm",,ALA12011500C,E333,
,,,,,,,,,루,루버포함 1100x2100mm,"DR111-외여닫이문(철재, 일반, 양개) 루버포함 1100x2100mm",,ALA12011300C,E333,
,,,,,,,,,루,루버포함 1100x2400mm,"DR111-외여닫이문(철재, 일반, 양개) 루버포함 1100x2400mm",,ALA12011400C,E333,
,,,,112.0,스테인리스 스틸,DR112,"DR112-외여닫이문(스테인리스 스틸, 방화문)",○,,900x1800mm,"DR112-외여닫이문(스테인리스 스틸, 방화문) 900x1800mm",ALA240100000,,E333,
,,,,,,,,○,,900x1900mm,"DR112-외여닫이문(스테인리스 스틸, 방화문) 900x1900mm",ALA240101000,,E333,
,,,,,,,,○,,900x2000mm,"DR112-외여닫이문(스테인리스 스틸, 방화문) 900x2000mm",ALA240102000,,E333,
,,,,,,,,○,,900x2100mm,"DR112-외여닫이문(스테인리스 스틸, 방화문) 900x2100mm",ALA240103000,,E333,
,,,,,,,,○,,900x2400mm,"DR112-외여닫이문(스테인리스 스틸, 방화문) 900x2400mm",ALA240104000,,E333,
,,,,,,,,○,,1000x1800mm,"DR112-외여닫이문(스테인리스 스틸, 방화문) 1000x1800mm",ALA240105000,,E333,
,,,,,,,,○,,1000x1900mm,"DR112-외여닫이문(스테인리스 스틸, 방화문) 1000x1900mm",ALA240106000,,E333,
,,,,,,,,○,,1000x2000mm,"DR112-외여닫이문(스테인리스 스틸, 방화문) 1000x2000mm",ALA240107000,,E333,
,,,,,,,,○,,1000x2100mm,"DR112-외여닫이문(스테인리스 스틸, 방화문) 1000x2100mm",ALA240108000,,E333,
,,,,,,,,○,,1000x2400mm,"DR112-외여닫이문(스테인리스 스틸, 방화문) 1000x2400mm",ALA240109000,,E333,
,,,,,,,,○,,1100x1800mm,"DR112-외여닫이문(스테인리스 스틸, 방화문) 1100x1800mm",ALA240110000,,E333,
,,,,,,,,○,,1100x1900mm,"DR112-외여닫이문(스테인리스 스틸, 방화문) 1100x1900mm",ALA240111000,,E333,
,,,,,,,,○,,1100x2000mm,"DR112-외여닫이문(스테인리스 스틸, 방화문) 1100x2000mm",ALA240112000,,E333,
,,,,,,,,○,,1100x2100mm,"DR112-외여닫이문(스테인리스 스틸, 방화문) 1100x2100mm",ALA240113000,,E333,
,,,,,,,,○,,1100x2400mm,"DR112-외여닫이문(스테인리스 스틸, 방화문) 1100x2400mm",ALA240114000,,E333,
,,,,,,,,○,유,유리포함 900x1800mm,"DR112-외여닫이문(스테인리스 스틸, 방화문) 유리포함 900x1800mm",ALA220100000,,E333,
,,,,,,,,○,유,유리포함 900x1900mm,"DR112-외여닫이문(스테인리스 스틸, 방화문) 유리포함 900x1900mm",ALA220101000,,E333,
,,,,,,,,○,유,유리포함 900x2000mm,"DR112-외여닫이문(스테인리스 스틸, 방화문) 유리포함 900x2000mm",ALA220102000,,E333,
,,,,,,,,○,유,유리포함 900x2100mm,"DR112-외여닫이문(스테인리스 스틸, 방화문) 유리포함 900x2100mm",ALA220103000,,E333,
,,,,,,,,○,유,유리포함 900x2400mm,"DR112-외여닫이문(스테인리스 스틸, 방화문) 유리포함 900x2400mm",ALA220104000,,E333,
,,,,,,,,○,유,유리포함 1000x1800mm,"DR112-외여닫이문(스테인리스 스틸, 방화문) 유리포함 1000x1800mm",ALA220105000,,E333,
,,,,,,,,○,유,유리포함 1000x1900mm,"DR112-외여닫이문(스테인리스 스틸, 방화문) 유리포함 1000x1900mm",ALA220106000,,E333,
,,,,,,,,○,유,유리포함 1000x2000mm,"DR112-외여닫이문(스테인리스 스틸, 방화문) 유리포함 1000x2000mm",ALA220107000,,E333,
,,,,,,,,○,유,유리포함 1000x2100mm,"DR112-외여닫이문(스테인리스 스틸, 방화문) 유리포함 1000x2100mm",ALA220108000,,E333,
,,,,,,,,○,유,유리포함 1000x2400mm,"DR112-외여닫이문(스테인리스 스틸, 방화문) 유리포함 1000x2400mm",ALA220109000,,E333,
,,,,,,,,○,유,유리포함 1100x1800mm,"DR112-외여닫이문(스테인리스 스틸, 방화문) 유리포함 1100x1800mm",ALA220120000,,E333,
,,,,,,,,○,유,유리포함 1100x1900mm,"DR112-외여닫이문(스테인리스 스틸, 방화문) 유리포함 1100x1900mm",ALA220122000,,E333,
,,,,,,,,○,유,유리포함 1100x2000mm,"DR112-외여닫이문(스테인리스 스틸, 방화문) 유리포함 1100x2000mm",ALA220113000,,E333,
,,,,,,,,○,유,유리포함 1100x2100mm,"DR112-외여닫이문(스테인리스 스틸, 방화문) 유리포함 1100x2100mm",ALA220113000,,E333,
,,,,,,,,○,유,유리포함 1100x2400mm,"DR112-외여닫이문(스테인리스 스틸, 방화문) 유리포함 1100x2400mm",ALA220114000,,E333,
,,,,,,DR112,"DR112-외여닫이문(스테인리스 스틸, 일반)",○,,900x1800mm,"DR112-외여닫이문(스테인리스 스틸, 일반) 900x1800mm",ALA210100000,,E333,
