PredefinedType,Category,Family,StructuralUsage,StructuralMaterial,Width,Height,Length,Volume,CrossSectionArea,IsExternal,LoadBearing,PartCode
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG6_400 x 500,Girder,KBIMS-콘크리트,400,500,12000.0,1.55400005906545,0.2,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG4_400 x 500,Girder,KBIMS-콘크리트,400,500,7250.0,0.909999949621602,0.2,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG7_400 x 500,Other,KBIMS-콘크리트,400,500,13000.0,1.69400000512573,0.2,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG4_400 x 500,Girder,KBIMS-콘크리트,400,500,6950.0,0.909999940934601,0.2,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG8_400 x 500,Other,KBIMS-콘크리트,400,500,3300.0,0.349999996159285,0.2,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RB1_400 x 500,Other,KBIMS-콘크리트,400,500,10300.0,1.3860000111644,0.2,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG9_500 x 500,Other,KBIMS-콘크리트,500,500,10497.0,1.75000000480093,0.25,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RB3_400 x 500,Other,KBIMS-콘크리트,400,500,13050.0,1.75700123330772,0.2,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG9_500 x 500,Other,KBIMS-콘크리트,500,500,10100.0,1.62749999897958,0.25,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG10_500 x 500,Girder,KBIMS-콘크리트,500,500,7800.0,1.26600000345365,0.25,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG7_400 x 500,Other,KBIMS-콘크리트,400,500,12800.0,1.69400000512571,0.2,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG10_500 x 500,Girder,KBIMS-콘크리트,500,500,7400.0,1.19000606962985,0.25,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG3_400 x 500,Other,KBIMS-콘크리트,400,500,2848.0,0.389631072533661,0.2,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG12_600 x 500,Girder,KBIMS-콘크리트,600,500,11850.0,2.33100008859807,0.3,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG1_400 x 500,Other,KBIMS-콘크리트,400,500,10050.0,1.30200122409237,0.2,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG6_400 x 500,Girder,KBIMS-콘크리트,400,500,11850.0,1.55400005906545,0.2,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RWG1_400 x 500,Other,KBIMS-콘크리트,400,500,4400.0,0.680367620890354,0.2,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RB4_400 x 500,Other,KBIMS-콘크리트,400,500,6900.0,1.10498292320414,0.2,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RWG2_400 x 500,Other,KBIMS-콘크리트,400,500,8000.0,1.1620002512199,0.2,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RB4_400 x 500,Other,KBIMS-콘크리트,400,500,5500.0,0.714000043789402,0.2,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RB3_400 x 500,Other,KBIMS-콘크리트,400,500,13000.0,1.73600001629006,0.2,0,True,E23
