ifc_type                  , category              , family_name                                 , kbims_code  , pps_code                                                         , family                                                                                                                              , type                                                                                                                                , type_id
IfcIfcSlab                , Floors                , Floor                                       , E251        , AD                                                               , Floor: SL110-철근콘크리트구조 바닥_2-10S4_THK150                                                                                    , Floor: SL110-철근콘크리트구조 바닥_2-10S4_THK150                                                                                    , Floor: SL110-철근콘크리트구조 바닥_2-10S4_THK150
IfcIfcFurnishingElement   , 가구                  , PF581-대변기 칸막이                         , E714        , AOC771                                                           , PF581-대변기 칸막이                                                                                                                 , PF581-대변기 칸막이(출입면) 970x1430x2400                                                                                           , 6868575
IfcIfcFurnishingElement   , Furniture             , FN122-업무용 책상(L형)                      , E81         , APA                                                              , FN122-업무용 책상(L형): FN122-업무용 책상(L형) 1800x1200 우형                                                                       , FN122-업무용 책상(L형): FN122-업무용 책상(L형) 1800x1200 우형                                                                       , FN122-업무용 책상(L형): FN122-업무용 책상(L형) 1800x1200 우형
IfcIfcFurnishingElement   , 가구                  , PF581-대변기 칸막이                         , E714        , AOC771                                                           , PF581-대변기 칸막이                                                                                                                 , PF581-대변기 칸막이(왼쪽) 970x1430x2400                                                                                             , 6868571
IfcIfcSlab                , Floors                , Floor                                       , E25         , ANI000012030+ADF102C+AJM4B+AGA441100000                          , "Floor: A1-12-09B-쇠흙손마감, 와이어매쉬(#8 150x150), 무근콘크리트, 에폭시페인트 (100mm)"                                           , "Floor: A1-12-09B-쇠흙손마감, 와이어매쉬(#8 150x150), 무근콘크리트, 에폭시페인트 (100mm)"                                           , "Floor: A1-12-09B-쇠흙손마감, 와이어매쉬(#8 150x150), 무근콘크리트, 에폭시페인트 (100mm)"
IfcIfcSlab                , Floors                , Floor                                       , E251        , AD                                                               , Floor: SL110-철근콘크리트구조 바닥_1S11_THK200                                                                                      , Floor: SL110-철근콘크리트구조 바닥_1S11_THK200                                                                                      , Floor: SL110-철근콘크리트구조 바닥_1S11_THK200
IfcIfcMember              , Curtain Wall Mullions , 직사각형 멀리언                             , E336        , ALC1                                                             , 직사각형 멀리언: CW200-직사각형 멀리언 60 x 100mm                                                                                   , 직사각형 멀리언: CW200-직사각형 멀리언 60 x 100mm                                                                                   , 직사각형 멀리언: CW200-직사각형 멀리언 60 x 100mm
IfcIfcWall                , 벽                    , 기본 벽                                     , E24         , AMB161A                                                          , 기본 벽                                                                                                                             , "WA313-화강석잔다듬 벽 (30, 건식50) 80mm"                                                                                           , 7431676
IfcIfcBeam                , 구조 프레임           , BM111-철근콘크리트구조 보                   , E23         , AD                                                               , BM111-철근콘크리트구조 보                                                                                                           , BM110-철근 콘크리트구조 보_400 x 400_2-10B2                                                                                         , 7669427
IfcIfcWall                , 벽                    , 기본 벽                                     , E275        , AD                                                               , 기본 벽                                                                                                                             , WA111-철근콘크리트구조 벽 300mm_RaW1                                                                                                , 7627184
